iter	Passed	Remaining
0	5	5304
1	7	3960
2	12	4200
3	14	3657
4	16	3369
5	20	3347
6	22	3190
7	27	3359
8	32	3542
9	35	3543
10	38	3419
11	40	3366
12	46	3542
13	54	3823
14	58	3810
15	60	3714
16	63	3647
17	69	3804
18	71	3712
19	73	3625
20	77	3590
21	82	3649
22	85	3630
23	87	3565
24	89	3501
25	92	3463
26	96	3493
27	99	3452
28	102	3420
29	104	3370
30	106	3327
31	110	3334
32	112	3310
33	116	3303
34	118	3263
35	120	3226
36	124	3227
37	127	3219
38	131	3228
39	133	3194
40	135	3163
41	137	3144
42	140	3125
43	143	3107
44	147	3134
45	149	3107
46	151	3081
47	155	3074
48	156	3032
49	160	3042
50	162	3023
51	164	2999
52	167	2996
53	170	2985
54	173	2973
55	177	2984
56	179	2963
57	181	2946
58	184	2935
59	186	2923
60	191	2945
61	193	2927
62	195	2908
63	200	2925
64	202	2913
65	207	2931
66	209	2915
67	211	2901
68	214	2894
69	216	2881
70	220	2879
71	223	2876
72	225	2863
73	228	2861
74	230	2845
75	233	2834
76	237	2849
77	240	2841
78	244	2853
79	246	2838
80	249	2830
81	254	2844
82	258	2854
83	260	2841
84	262	2827
85	265	2822
86	270	2841
87	273	2836
88	275	2824
89	278	2811
90	280	2802
91	283	2796
92	288	2817
93	291	2813
94	293	2800
95	297	2798
96	300	2797
97	304	2800
98	306	2787
99	308	2775
100	310	2764
101	314	2764
102	317	2761
103	320	2761
104	322	2751
105	324	2740
106	328	2744
107	331	2739
108	335	2740
109	337	2728
110	339	2718
111	342	2718
112	345	2712
113	348	2710
114	351	2703
115	353	2692
116	355	2681
117	358	2679
118	361	2673
119	365	2681
120	369	2682
121	371	2674
122	374	2669
123	377	2663
124	381	2667
125	383	2657
126	385	2648
127	388	2647
128	391	2640
129	394	2637
130	396	2630
131	398	2621
132	401	2618
133	403	2609
134	406	2604
135	410	2610
136	413	2601
137	415	2592
138	418	2590
139	420	2582
140	423	2578
141	427	2581
142	429	2573
143	432	2571
144	434	2563
145	436	2555
146	440	2553
147	442	2546
148	444	2539
149	447	2536
150	449	2528
151	452	2521
152	456	2526
153	458	2519
154	461	2518
155	463	2510
156	466	2502
157	469	2500
158	473	2504
159	476	2502
160	478	2494
161	480	2486
162	483	2481
163	486	2478
164	489	2476
165	492	2475
166	494	2467
167	496	2460
168	500	2459
169	503	2456
170	506	2456
171	508	2449
172	510	2442
173	513	2436
174	515	2431
175	518	2426
176	521	2423
177	523	2416
178	525	2409
179	527	2402
180	529	2398
181	532	2393
182	535	2390
183	537	2384
184	539	2377
185	541	2370
186	542	2359
187	544	2352
188	547	2348
189	549	2344
190	552	2340
191	554	2334
192	556	2327
193	558	2321
194	560	2315
195	563	2311
196	566	2310
197	569	2304
198	571	2298
199	573	2292
200	575	2286
201	577	2280
202	579	2277
203	582	2274
204	584	2268
205	587	2262
206	589	2256
207	591	2250
208	593	2245
209	595	2241
210	598	2238
211	600	2233
212	602	2227
213	604	2221
214	608	2222
215	612	2221
216	615	2219
217	617	2214
218	619	2208
219	621	2203
220	623	2197
221	625	2193
222	628	2189
223	631	2186
224	633	2180
225	635	2175
226	637	2169
227	639	2164
228	641	2160
229	644	2157
230	646	2152
231	648	2147
232	650	2142
233	652	2136
234	654	2131
235	657	2128
236	660	2124
237	662	2122
238	664	2117
239	666	2112
240	669	2107
241	671	2102
242	673	2099
243	676	2097
244	678	2092
245	680	2087
246	682	2082
247	685	2077
248	687	2072
249	690	2070
250	692	2067
251	694	2062
252	696	2057
253	698	2052
254	701	2048
255	703	2044
256	706	2042
257	709	2039
258	711	2034
259	713	2030
260	715	2025
261	717	2020
262	719	2016
263	722	2014
264	725	2011
265	727	2007
266	729	2002
267	731	1998
