iter	Passed	Remaining
0	26	26306
1	146	73241
2	155	51741
3	171	42776
4	179	35694
5	183	30440
6	188	26738
7	192	23830
8	197	21733
9	204	20215
10	209	18845
11	223	18417
12	228	17341
13	234	16489
14	239	15759
15	242	14937
16	246	14239
17	250	13671
18	256	13234
19	260	12777
20	267	12460
21	271	12075
22	274	11662
23	277	11293
24	285	11152
25	289	10826
26	292	10546
27	297	10315
28	302	10135
29	305	9884
30	308	9649
31	313	9479
32	318	9322
33	321	9130
34	324	8939
35	329	8818
36	334	8718
37	337	8555
38	341	8407
39	345	8302
40	350	8200
41	353	8063
42	356	7932
43	360	7829
44	365	7755
45	368	7650
46	371	7541
47	377	7489
48	379	7365
49	383	7285
50	386	7188
51	389	7096
52	393	7037
53	397	6967
54	400	6884
55	404	6824
56	457	7572
57	586	9531
58	595	9502
59	600	9414
60	603	9295
61	608	9208
62	612	9110
63	615	9000
64	618	8897
65	621	8797
66	629	8771
67	636	8719
68	641	8657
69	647	8603
70	654	8563
71	662	8544
72	707	8989
73	730	9139
74	741	9143
75	767	9335
76	781	9366
77	788	9319
78	796	9280
79	812	9345
80	818	9286
81	824	9227
82	840	9287
83	848	9247
84	855	9209
85	864	9186
86	873	9163
87	890	9230
88	898	9192
89	908	9183
90	918	9179
91	950	9383
92	959	9358
93	967	9323
94	976	9305
95	982	9252
96	985	9177
97	989	9110
98	993	9044
99	998	8982
100	1001	8911
101	1005	8850
102	1009	8792
103	1014	8741
104	1018	8684
105	1024	8639
106	1044	8720
107	1049	8668
108	1052	8603
109	1055	8539
110	1062	8508
111	1068	8470
112	1074	8433
113	1091	8482
114	1096	8437
115	1099	8379
116	1113	8402
117	1116	8345
118	1120	8293
119	1125	8253
120	1129	8201
121	1132	8148
122	1145	8169
123	1149	8123
124	1162	8140
125	1166	8088
126	1171	8056
127	1177	8024
128	1181	7976
129	1187	7949
130	1205	7996
131	1208	7946
132	1212	7906
133	1216	7863
134	1229	7878
135	1233	7837
136	1240	7814
137	1265	7904
138	1271	7874
139	1280	7866
140	1297	7901
141	1302	7872
142	1306	7828
